variant,model,seed,n_rows,test_r2,test_mae
full without,Random Forest,0,26970,0.6802544643579738,1.5156260636790435
full without,Random Forest,1,26970,0.669972953569248,1.4999863832443803
full without,Random Forest,2,26970,0.6581234254171822,1.5874957353903953
full without,Random Forest,3,26970,0.632975181067687,1.5960733074067597
full without,Random Forest,4,26970,0.660140515830207,1.5467127466698671
full without,Ridge,0,26970,0.49405259379320965,2.286143999635945
full without,Ridge,1,26970,0.48799551264177743,2.236834548106
full without,Ridge,2,26970,0.46912694338508965,2.3202288637354256
full without,Ridge,3,26970,0.4493864205811965,2.296349510103584
full without,Ridge,4,26970,0.4939487668653947,2.2731380284973692
full with,Random Forest,0,26970,0.6861884767786235,1.5062819861748387
full with,Random Forest,1,26970,0.6739353996081129,1.4964553574492196
full with,Random Forest,2,26970,0.6725339836551925,1.5641457313661016
full with,Random Forest,3,26970,0.6329697591672767,1.5864761481126382
full with,Random Forest,4,26970,0.6506550600876653,1.531465821806023
full with,Ridge,0,26970,0.4971156436698627,2.2329888740168853
full with,Ridge,1,26970,0.4992639183048925,2.185435515238528
full with,Ridge,2,26970,0.46643395283678435,2.2745301227599586
full with,Ridge,3,26970,0.4633676894599926,2.239251963075206
full with,Ridge,4,26970,0.5086059893149643,2.2176499986168676
observed without,Random Forest,0,1023,0.365026504001712,4.804346139239403
observed without,Random Forest,1,1023,0.3828466841678406,5.213001414139595
observed without,Random Forest,2,1023,0.41313679819936033,5.149120670893112
observed without,Random Forest,3,1023,0.3216404595423793,5.382514641440251
observed without,Random Forest,4,1023,0.2520320716118368,5.035418911023871
observed without,Ridge,0,1023,0.34978278059855816,5.484071471491649
observed without,Ridge,1,1023,0.25901285209459124,6.300075928591859
observed without,Ridge,2,1023,0.2862977219833951,5.933013757509694
observed without,Ridge,3,1023,0.27585677225253646,6.097991659104235
observed without,Ridge,4,1023,0.2658642094856466,5.410275579011969
observed with,Random Forest,0,1023,0.523088209910022,4.30012318677425
observed with,Random Forest,1,1023,0.3752110574012919,5.286822189176272
observed with,Random Forest,2,1023,0.3860721650574017,4.874806833308449
observed with,Random Forest,3,1023,0.3346423924637376,5.203617924279204
observed with,Random Forest,4,1023,0.32927126068886836,4.805640732733317
observed with,Ridge,0,1023,0.30142885543166764,5.191854585851106
observed with,Ridge,1,1023,0.254751263463027,6.120015866615456
observed with,Ridge,2,1023,0.28275432944292744,5.4073418585200335
observed with,Ridge,3,1023,0.20115944016309184,6.006411777082188
observed with,Ridge,4,1023,0.21403526063830258,5.292965076180072
