fold,model,n_test,fallback_rate,fitted,mse,mae,r2
1,Persistence baseline,5394,1.0,True,43.456905257061784,3.731601655579959,-0.0003787345913170981
1,Linear trend baseline,5394,1.0,True,43.40903981806846,3.7322434169784304,0.0007231286685620564
1,KNN,5394,,True,32.66761572409887,2.733249260382324,0.247990903013534
1,Neural Network,5394,,True,30.59352097694338,2.642054131197776,0.2957366011093444
1,SVM,5394,,True,30.004943555819587,2.69143421657515,0.3092856638479332
1,Linear Regression,5394,,True,38.55974480409914,3.145607877772256,0.11235398643532157
1,Decision Tree,5394,,True,32.644369711856896,2.583754313373013,0.24852602663021495
1,Random Forest,5394,,True,29.28987694222023,2.761282788308652,0.3257465100547574
1,Ridge,5394,,True,35.57714519383453,3.12984998871918,0.181013482693956
1,Poly Ridge,5394,,True,32.103224129157695,3.079580824390391,0.2609832076017554
2,Persistence baseline,5394,1.0,True,41.17671387004033,3.8164073430559213,-0.00030846743592594095
2,Linear trend baseline,5394,1.0,True,41.23839135015922,3.8154716196842573,-0.0018068022911006398
2,KNN,5394,,True,26.49892211992167,2.4323472929083554,0.35626003915360904
2,Neural Network,5394,,True,28.67620485001372,2.5351709951439414,0.3033671745654579
2,SVM,5394,,True,27.94148127074588,2.689680381723313,0.32121586010860403
2,Linear Regression,5394,,True,29.165186677503858,2.8335221769883794,0.29148830866070286
2,Decision Tree,5394,,True,41.76591198934334,2.8802044345992774,-0.014621893941894504
2,Random Forest,5394,,True,24.766751714739673,2.4863781933216433,0.398339762387817
2,Ridge,5394,,True,28.8245284242054,2.802885176758204,0.2997639407655832
2,Poly Ridge,5394,,True,28.859967962571563,3.196552576902209,0.29890300585898577
3,Persistence baseline,5394,1.0,True,33.05020179383597,3.5954170683511584,-0.004081772925250249
3,Linear trend baseline,5394,1.0,True,33.05249526026159,3.5911976689490914,-0.004151449590135581
3,KNN,5394,,True,20.7438165626061,2.2500553334480076,0.36979240727957297
3,Neural Network,5394,,True,17.459937985957307,2.1190754519243518,0.469558292035161
3,SVM,5394,,True,19.429689367165263,2.394283935087439,0.4097162532057911
3,Linear Regression,5394,,True,22.19541566144994,2.550962163546026,0.32569209570399726
3,Decision Tree,5394,,True,29.6501505853431,2.4511338595375443,0.09921349488448739
3,Random Forest,5394,,True,19.047503576467154,2.354769304755848,0.42132724997684756
3,Ridge,5394,,True,21.694572071720888,2.4689056936974016,0.34090797615974633
3,Poly Ridge,5394,,True,19.960336728406844,2.64000677561794,0.3935949191638026
4,Persistence baseline,5394,1.0,True,40.0597657533912,3.5992339702034344,-0.00023069372925133003
4,Linear trend baseline,5394,1.0,True,40.014193409409415,3.5981116697364284,0.0009071775582737418
4,KNN,5394,,True,25.759173143108576,2.3902237707799925,0.3568330932977988
4,Neural Network,5394,,True,23.765787056972545,2.3574189101326413,0.40660487579099247
4,SVM,5394,,True,24.632265915756907,2.5139894453613203,0.3849702323095777
4,Linear Regression,5394,,True,50.78326559747366,3.4562579978870684,-0.26797997999022094
4,Decision Tree,5394,,True,33.89078807840364,2.521254860213267,0.15379918396494663
4,Random Forest,5394,,True,24.223707630185743,2.504574017168293,0.39517130387652977
4,Ridge,5394,,True,46.06398018437314,3.2522346709844947,-0.15014668681245746
4,Poly Ridge,5394,,True,26.720632353797566,2.9158895896426453,0.3328269366163056
5,Persistence baseline,5394,1.0,True,44.53465764684497,3.714266233055964,-0.0014603999716555904
5,Linear trend baseline,5394,1.0,True,44.53711599962179,3.7166696817092544,-0.0015156814779078154
5,KNN,5394,,True,30.755746621581306,2.4847001044110946,0.3083889280721177
5,Neural Network,5394,,True,32.67450895691831,2.5153202618112664,0.2652413078291388
5,SVM,5394,,True,28.205973396323262,2.500435070941878,0.36572622555968104
5,Linear Regression,5394,,True,31.314414134836085,2.721389621629575,0.2958260518575536
5,Decision Tree,5394,,True,39.967869891341124,2.7353291068844827,0.10123393594262398
5,Random Forest,5394,,True,26.393503121794687,2.460002298023384,0.40648363342974503
5,Ridge,5394,,True,29.812048391128805,2.6887831605556434,0.32961007262016506
5,Poly Ridge,5394,,True,28.103686056624078,2.7185310990946254,0.3680263829099293
