model,mse_mean,mse_std,mae_mean,mae_std,r2_mean,r2_std,n_folds
Random Forest,24.7443,3.7452,2.5134,0.1502,0.3894,0.037,5
SVM,26.0429,4.1745,2.558,0.1296,0.3582,0.0424,5
Neural Network,26.634,6.0977,2.4338,0.2032,0.3481,0.0863,5
Poly Ridge,27.1496,4.4789,2.9101,0.2348,0.3309,0.053,5
KNN,27.2851,4.657,2.4581,0.1768,0.3279,0.0504,5
Ridge,32.3945,9.0951,2.8685,0.3209,0.2002,0.2059,5
Linear Regression,34.4036,10.8581,2.9415,0.3603,0.1515,0.2491,5
Decision Tree,35.5838,5.1028,2.6343,0.1729,0.1176,0.0956,5
Linear trend baseline,40.4502,4.4999,3.6907,0.0954,-0.0012,0.0021,5
Persistence baseline,40.4556,4.5045,3.6914,0.0942,-0.0013,0.0016,5
