cutoff,model,objective,threshold,mae,average_precision,n_test,n_positives,best_params
2016,Random Forest,mae,10.136,1.7603541128137237,0.4590085599380279,5017,361,"{'regressor__bootstrap': False, 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 200}"
2016,Random Forest,average_precision,10.136,1.7672435839119935,0.5004382106520764,5017,361,"{'regressor__bootstrap': True, 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}"
2016,Poly Ridge,mae,10.136,2.534732471150543,0.445619576516703,5017,361,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': True}"
2016,Poly Ridge,average_precision,10.136,2.534732471150543,0.445619576516703,5017,361,"{'regressor__alpha': 100.0, 'regressor__fit_intercept': True}"
2016,Ridge,mae,10.136,2.3302216231281867,0.36646999292157423,5017,361,"{'regressor__alpha': 10.0, 'regressor__fit_intercept': False}"
2016,Ridge,average_precision,10.136,2.3537698732881247,0.3616506920369555,5017,361,"{'regressor__alpha': 0.1, 'regressor__fit_intercept': True}"
2016,KNN,mae,10.136,1.7905960154602307,0.447749409691897,5017,361,"{'regressor__n_neighbors': 5, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2016,KNN,average_precision,10.136,1.7584045789400038,0.46592737014896596,5017,361,"{'regressor__n_neighbors': 10, 'regressor__p': 1, 'regressor__weights': 'distance'}"
2016,Decision Tree,mae,10.136,1.9538676938730384,0.34374609986753313,5017,361,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'squared_error', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}"
2016,Decision Tree,average_precision,10.136,1.968960710948316,0.3355821132598851,5017,361,"{'regressor__ccp_alpha': 0.0, 'regressor__criterion': 'friedman_mse', 'regressor__max_depth': None, 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2}"
2016,Linear Regression,mae,10.136,2.3586471648591143,0.3588937749668566,5017,361,"{'regressor__fit_intercept': False, 'regressor__positive': False}"
2016,Linear Regression,average_precision,10.136,2.3586471648591143,0.3588937749668566,5017,361,"{'regressor__fit_intercept': False, 'regressor__positive': False}"
2017,Random Forest,mae,10.191,1.7475032845625929,0.3962587906309647,3795,232,"{'regressor__bootstrap': False, 'regressor__max_depth': None, 'regressor__max_features': 'log2', 'regressor__min_samples_leaf': 1, 'regressor__min_samples_split': 2, 'regressor__n_estimators': 100}"
