model,n,spearman,ap@5,auc@5,prevalence@5,ap@10,auc@10,prevalence@10,ap@15,auc@15,prevalence@15,ap@20,auc@20,prevalence@20,ap@30,auc@30,prevalence@30
Decision Tree,13875,0.6838,0.5336,0.8493,0.1642,0.2623,0.779,0.06,0.1918,0.7704,0.0363,0.1565,0.7678,0.0206,0.1847,0.812,0.0089
KNN,13875,0.7344,0.6498,0.8856,0.1642,0.3984,0.8407,0.06,0.3006,0.8499,0.0363,0.2453,0.8805,0.0206,0.2576,0.8903,0.0089
Linear Regression,13875,0.6476,0.5855,0.8748,0.1642,0.3607,0.8543,0.06,0.2939,0.8564,0.0363,0.2754,0.8692,0.0206,0.2604,0.9237,0.0089
Linear trend baseline,13875,0.6646,0.5749,0.866,0.1642,0.2319,0.7848,0.06,0.1556,0.7753,0.0363,0.105,0.787,0.0206,0.09,0.8136,0.0089
Neural Network,13875,0.5604,0.5451,0.839,0.1642,0.3358,0.7996,0.06,0.2643,0.8004,0.0363,0.2209,0.7995,0.0206,0.294,0.8254,0.0089
Persistence baseline,13875,0.7193,0.6934,0.9097,0.1642,0.3334,0.8435,0.06,0.2538,0.8478,0.0363,0.1922,0.8523,0.0206,0.2237,0.8771,0.0089
Poly Ridge,13875,0.6287,0.6488,0.8935,0.1642,0.4712,0.8855,0.06,0.3982,0.8884,0.0363,0.3462,0.8935,0.0206,0.3359,0.8937,0.0089
Random Forest,13875,0.7261,0.6576,0.9033,0.1642,0.434,0.8734,0.06,0.3508,0.8842,0.0363,0.2739,0.8917,0.0206,0.2881,0.9265,0.0089
Ridge,13875,0.65,0.5841,0.8778,0.1642,0.3596,0.8613,0.06,0.2911,0.8673,0.0363,0.2756,0.8825,0.0206,0.2644,0.9243,0.0089
SVM,13875,0.7001,0.6582,0.8776,0.1642,0.4135,0.834,0.06,0.3245,0.8424,0.0363,0.2588,0.8473,0.0206,0.2588,0.8424,0.0089
