bootstrap,max_features,max_depth,r2_mean,r2_std,mae_mean,r2_rank,mae_rank,in_use
True,log2,None,0.3831,0.0563,1.4376,1,4,
True,sqrt,None,0.3762,0.0713,1.4226,2,3,
False,log2,None,0.3673,0.077,1.4063,3,2,
False,sqrt,None,0.3555,0.0721,1.387,4,1,yes
False,sqrt,30,0.3546,0.0389,1.6342,5,12,
True,sqrt,30,0.3528,0.0337,1.6384,6,13,
False,log2,30,0.3153,0.0382,1.8311,7,24,
False,sqrt,20,0.3148,0.0396,1.7818,8,20,
True,log2,30,0.3053,0.0296,1.8413,9,26,
True,sqrt,20,0.2973,0.0435,1.8116,10,23,
True,0.5,30,0.2614,0.0536,1.5559,11,8,
True,0.5,20,0.2567,0.0491,1.6623,12,14,
True,0.5,10,0.2495,0.0649,1.7676,13,19,
False,log2,20,0.2408,0.0443,2.0561,14,27,
True,0.5,None,0.2399,0.0839,1.4816,15,5,
False,0.5,10,0.2331,0.0701,1.7603,16,18,
True,log2,20,0.229,0.0347,2.0692,17,28,
False,sqrt,10,0.1968,0.0488,2.1309,18,29,
True,sqrt,10,0.186,0.0486,2.1429,19,30,
True,None,10,0.1853,0.1277,1.7942,20,21,
True,None,20,0.1746,0.087,1.7523,21,17,
True,None,30,0.1596,0.1224,1.6212,22,11,
False,0.5,20,0.1484,0.0842,1.7074,23,15,
False,0.5,30,0.1422,0.1019,1.5963,24,9,
False,0.5,None,0.1208,0.1015,1.4945,25,6,
True,None,None,0.1192,0.1841,1.5507,26,7,
False,None,10,0.1132,0.1154,1.8048,27,22,
True,log2,10,0.1029,0.0624,2.394,28,31,
False,log2,10,0.1027,0.0684,2.3982,29,32,
False,None,20,0.0045,0.096,1.8388,30,25,
False,None,30,-0.0984,0.2747,1.7106,31,16,
False,None,None,-0.1776,0.3015,1.602,32,10,
