Model,MAE,MAE sd,Skill vs persistence,R²,Adjusted R²,AP @10%
SVM,1.341,0.381,0.001,0.329,0.222,0.414
Persistence baseline,1.342,0.319,0.0,0.214,0.088,0.333
Random Forest,1.387,0.358,-0.033,0.355,0.252,0.434
KNN,1.393,0.348,-0.038,0.294,0.181,0.398
Decision Tree,1.703,0.488,-0.269,-0.084,-0.257,0.262
Linear Regression,1.752,0.48,-0.306,0.279,0.164,0.361
Ridge,1.757,0.475,-0.309,0.281,0.166,0.36
Poly Ridge,1.769,0.462,-0.318,0.298,0.186,0.471
Neural Network,1.885,0.934,-0.405,0.275,0.159,0.336
Linear trend baseline,1.905,0.491,-0.419,-2.219,-2.735,0.232
