model,year_mode,seconds,status,test_mse,test_mae,test_r2,train_mse,train_mae,train_r2,delta_r2,delta_mse,delta_mae
KNN,none,1.2773239612579346,ok,17.203790794473026,1.5778848559667766,0.5645456884661928,6.685844896310201,1.0064626053708907,0.8356112965337947,-0.27106560806760194,10.517945898162825,0.5714222505958859
KNN,raw,1.1937260627746582,ok,19.56661421255048,2.0980982729067494,0.5047390064920418,3.7768031456250224,0.5918206038264738,0.9071375746842367,-0.4023985681921949,15.789811066925457,1.5062776690802755
KNN,scaled,1.2141361236572266,ok,15.857496347173633,1.6075361095102356,0.5986224642578913,3.7768031456250224,0.5918206038264738,0.9071375746842367,-0.3085151104263454,12.08069320154861,1.0157155056837617
Neural Network,none,14.083030223846436,ok,15.000222014586889,1.4855306184372488,0.6203213914741008,6.271806715471742,1.0251886326886361,0.8457914907783701,-0.2254700993042693,8.728415299115147,0.4603419857486126
Neural Network,raw,64.3878767490387,failed: Solver produced non-finite parameter weights. The input data may contain large values and need to be preprocessed.,,,,,,,,,
Neural Network,scaled,28.066715002059937,ok,14.290280462666754,1.4803797075345755,0.6382911002094537,4.089192912749966,0.8052201174246496,0.8994566682931656,-0.26116556808371194,10.201087549916789,0.6751595901099259
SVM,none,26.961041927337646,ok,16.116018537329396,1.4850972091087118,0.5920788714140016,12.228320946750848,1.1994046635472535,0.6993352587173531,-0.10725638730335152,3.887697590578547,0.2856925455614583
SVM,raw,8.445603132247925,ok,43.61972357868601,3.1228244825173994,-0.10408205535456316,44.94030103652496,3.1642302998407374,-0.10497295934167195,0.000890903987108782,-1.3205774578389438,-0.041405817323338034
SVM,scaled,35.18282914161682,ok,16.850051084750334,1.5322296874957109,0.5734993826606695,13.348781081200588,1.2744812977922009,0.6717858626957054,-0.09828648003503593,3.5012700035497453,0.25774838970351
Linear Regression,none,0.047930240631103516,ok,20.531336743478445,2.266045850089455,0.4803204007007327,19.257844947309504,2.20931733794472,0.5264963199806574,-0.046175919279924704,1.2734917961689405,0.05672851214473473
Linear Regression,raw,0.06610417366027832,ok,20.52574009427564,2.2681410738938856,0.4804620604694789,19.25042311178375,2.210305415299204,0.5266788049078939,-0.04621674443841495,1.2753169824918906,0.05783565859468176
Linear Regression,scaled,0.06606006622314453,ok,20.53037695938275,2.2681288152497676,0.48034469430715965,19.25039636676372,2.2102013239402596,0.5266794625030423,-0.04633476819588267,1.2799805926190295,0.05792749130950803
Decision Tree,none,0.06256699562072754,ok,17.57104495325153,1.6567590409387674,0.5552499228538721,7.838495483218973,1.2184327064080867,0.8072704153930932,-0.2520204925392211,9.732549470032556,0.4383263345306807
Decision Tree,raw,0.11672616004943848,ok,17.763688352101184,1.6095710729881167,0.5503738231837599,6.62507641841356,1.0939797421746813,0.8371054459566384,-0.28673162277287845,11.138611933687624,0.5155913308134354
Decision Tree,scaled,0.11586999893188477,ok,17.876874482288102,1.6099871357261037,0.5475089087596927,6.625315992366983,1.093825028824751,0.8370995554144259,-0.2895906466547332,11.25155848992112,0.5161621069013527
Random Forest,none,2.1754722595214844,ok,14.693481238330147,1.5026032258849036,0.6280854706319999,6.62159418650734,1.0666067219530035,0.8371910655899248,-0.2091055949579249,8.071887051822806,0.43599650393190004
Random Forest,raw,4.106920003890991,ok,14.017239154465274,1.583336617412573,0.6452021941830774,4.595163541531077,0.8339511448119769,0.8870160782185723,-0.24181388403549486,9.422075612934197,0.7493854726005961
Random Forest,scaled,4.1186769008636475,ok,13.924011416629869,1.578380321036176,0.6475619311085004,4.576493675752662,0.831700034560653,0.8874751249175011,-0.23991319380900078,9.347517740877207,0.746680286475523
Ridge,none,0.03397798538208008,ok,20.47140673180755,2.266066377866662,0.4818373211448448,19.274432339224433,2.21424561357648,0.526088476261117,-0.0442511551162722,1.1969743925831189,0.05182076429018201
Ridge,raw,0.04874587059020996,ok,20.47431025837807,2.2681267224302855,0.48176382843740084,19.266813914233822,2.2150636969407755,0.5262757948462897,-0.04451196640888888,1.2074963441442463,0.05306302548950992
Ridge,scaled,0.047170162200927734,ok,20.472771043871674,2.2681197361619816,0.48180278831555745,19.26678427085238,2.2150801674488667,0.5262765237051127,-0.044473735389555236,1.2059867730192941,0.05303956871311488
Poly Ridge,none,0.16272687911987305,ok,14.465118283488119,1.6416752805385142,0.6338656870080621,8.85709877716515,1.3735559280567073,0.7822254319339901,-0.14835974492592796,5.608019506322968,0.26811935248180685
Poly Ridge,raw,241.63177800178528,ok,2835447840187.8037,1683798.25826242,-71769530440.84128,2835982917577.167,1683957.6599383447,-69729938713.26869,-2039591727.572586,-535077389.36328125,-159.40167592465878
Poly Ridge,scaled,0.259476900100708,ok,14.274985037773572,1.6253864501789812,0.6386782508552646,7.870927933176548,1.3080726309240707,0.806472980142733,-0.1677947292874684,6.404057104597024,0.31731381925491053
